iter	Passed	Remaining
403	11090	8647
404	11114	8617
405	11143	8590
406	11166	8560
407	11192	8531
408	11216	8501
409	11249	8478
410	11273	8448
411	11295	8417
412	11318	8386
413	11349	8361
414	11374	8332
415	11403	8305
416	11428	8276
417	11459	8252
418	11482	8221
419	11505	8191
420	11527	8159
421	11556	8133
422	11580	8103
423	11609	8077
424	11638	8051
425	11663	8022
426	11697	7999
427	11724	7971
428	11752	7944
429	11778	7916
430	11809	7891
431	11834	7862
432	11859	7833
433	11885	7804
434	11911	7776
435	11934	7746
436	11955	7715
437	11977	7684
438	12001	7654
439	12023	7624
440	12050	7596
441	12079	7570
442	12110	7545
443	12151	7526
444	12191	7506
445	12222	7481
446	12252	7455
447	12279	7428
448	12312	7403
449	12342	7378
450	12367	7349
451	12399	7324
452	12426	7296
453	12448	7266
454	12473	7237
455	12496	7207
456	12524	7180
457	12548	7151
458	12573	7122
459	12609	7099
460	12633	7070
461	12659	7042
462	12682	7012
463	12710	6985
464	12736	6957
465	12770	6933
466	12800	6907
467	12832	6882
468	12859	6854
469	12888	6828
470	12913	6799
471	12939	6771
472	12971	6746
473	12999	6718
474	13031	6693
475	13068	6671
476	13098	6645
477	13127	6618
478	13155	6591
479	13177	6561
480	13201	6532
481	13228	6504
482	13255	6476
483	13279	6447
484	13305	6419
485	13330	6390
486	13359	6364
487	13394	6340
488	13415	6309
489	13458	6289
490	13487	6263
491	13526	6241
492	13562	6217
493	13592	6190
494	13620	6163
495	13645	6135
496	13673	6107
497	13699	6079
498	13727	6052
499	13757	6025
500	13785	5998
501	13810	5969
502	13837	5942
503	13871	5917
504	13909	5894
505	13935	5866
506	13966	5839
507	13992	5811
508	14019	5783
509	14048	5757
510	14076	5729
511	14104	5702
512	14133	5675
513	14158	5646
514	14183	5618
515	14207	5589
516	14231	5560
517	14257	5532
518	14282	5503
519	14304	5474
520	14328	5445
521	14353	5417
522	14378	5388
523	14401	5359
524	14426	5331
525	14450	5302
526	14484	5277
527	14508	5248
528	14535	5220
529	14558	5191
530	14585	5164
531	14616	5137
532	14642	5109
533	14668	5081
534	14692	5053
535	14715	5024
536	14738	4995
537	14759	4965
538	14786	4938
539	14809	4909
540	14838	4882
541	14859	4852
542	14884	4824
543	14908	4795
544	14930	4766
545	14954	4738
546	14975	4709
547	15003	4681
548	15028	4653
549	15051	4624
550	15074	4596
551	15105	4570
552	15137	4543
553	15165	4516
554	15192	4489
555	15216	4460
556	15238	4432
557	15258	4402
558	15285	4375
559	15307	4346
560	15337	4319
561	15363	4291
562	15393	4265
563	15423	4238
564	15456	4213
565	15484	4185
566	15512	4158
567	15543	4132
568	15570	4104
569	15596	4076
570	15624	4049
571	15651	4022
572	15677	3994
573	15710	3968
574	15735	3940
575	15760	3912
576	15788	3885
577	15818	3858
578	15843	3830
579	15865	3802
580	15887	3773
581	15917	3746
582	15942	3719
583	15966	3690
584	15989	3662
585	16014	3634
586	16042	3607
587	16067	3579
588	16093	3551
589	16118	3524
590	16145	3496
591	16172	3469
592	16193	3440
593	16221	3413
594	16247	3386
595	16272	3358
596	16296	3330
597	16329	3304
598	16354	3276
599	16378	3248
600	16400	3220
601	16421	3191
602	16451	3164
603	16473	3136
604	16496	3108
605	16521	3080
606	16546	3053
607	16568	3024
608	16592	2996
609	16614	2968
610	16635	2940
611	16658	2912
612	16678	2883
613	16703	2856
614	16727	2828
615	16751	2800
616	16773	2772
617	16795	2744
618	16822	2717
619	16855	2691
620	16886	2664
621	16908	2636
622	16929	2608
623	16953	2581
624	16980	2553
625	17004	2526
626	17027	2498
627	17053	2471
628	17082	2444
629	17107	2416
630	17132	2389
631	17153	2361
632	17173	2333
633	17200	2306
634	17222	2278
635	17251	2251
636	17273	2223
637	17301	2196
638	17324	2169
639	17349	2141
640	17375	2114
641	17398	2086
642	17420	2059
643	17442	2031
644	17467	2004
645	17489	1976
646	17511	1948
647	17536	1921
648	17556	1893
649	17579	1866
650	17604	1838
651	17627	1811
652	17651	1784
653	17678	1756
654	17700	1729
655	17724	1702
656	17749	1674
657	17787	1648
658	17821	1622
659	17863	1596
660	17892	1570
661	17928	1543
662	17963	1517
663	18005	1491
664	18046	1465
665	18073	1438
666	18106	1411
667	18143	1385
668	18195	1359
669	18218	1332
670	18239	1304
671	18264	1277
672	18286	1249
673	18314	1222
674	18337	1195
675	18362	1168
676	18383	1140
677	18408	1113
678	18432	1085
679	18455	1058
680	18484	1031
681	18508	1004
682	18532	976
683	18552	949
684	18575	921
685	18596	894
686	18622	867
687	18649	840
688	18680	813
689	18708	786
690	18735	759
691	18766	732
692	18797	705
693	18829	678
694	18857	651
695	18884	624
696	18913	596
697	18942	569
698	18971	542
699	18995	515
700	19017	488
701	19039	461
702	19065	433
703	19086	406
704	19111	379
705	19134	352
706	19155	325
707	19177	297
708	19204	270
709	19237	243
710	19264	216
711	19285	189
712	19315	162
713	19341	135
714	19362	108
715	19388	81
716	19415	54
717	19439	27
718	19463	0
