iter	RMSE
332	4713.975781
333	4713.638892
334	4713.407669
335	4713.053833
336	4712.371853
337	4711.868537
338	4711.390842
339	4711.102355
340	4710.914064
341	4709.900202
342	4709.395292
343	4708.966095
344	4708.631095
345	4708.328306
346	4708.118743
347	4707.777017
348	4706.916412
349	4706.58625
350	4706.074181
351	4705.879553
352	4705.304626
353	4704.000631
354	4703.547541
355	4703.356077
356	4703.206647
357	4702.931739
358	4702.637921
359	4702.213694
360	4701.788282
361	4701.114056
362	4700.786987
363	4700.481782
364	4700.315787
365	4699.331017
366	4698.914812
367	4698.529365
368	4698.06717
369	4697.859733
370	4697.570735
371	4696.461333
372	4695.940815
373	4695.108556
374	4694.529596
375	4693.900679
376	4693.49172
377	4693.20933
378	4692.796388
379	4692.413782
380	4692.104169
381	4691.214176
382	4690.872086
383	4690.601612
384	4690.346265
385	4690.15297
386	4689.616506
387	4689.28979
388	4688.889864
389	4688.769698
390	4688.490811
391	4688.33139
392	4688.108434
393	4687.521882
394	4687.256472
395	4686.85565
396	4686.502518
397	4686.283354
398	4684.483436
399	4684.281906
400	4684.15325
401	4683.820074
402	4683.460168
403	4683.171279
404	4682.98726
405	4682.115113
406	4681.844503
407	4681.409593
408	4681.109281
409	4680.850091
410	4680.444888
411	4680.182358
412	4679.914127
413	4679.597931
414	4679.349932
415	4679.108086
416	4678.432522
417	4677.392262
418	4677.103997
419	4676.972074
420	4676.704857
421	4676.450214
422	4676.207196
423	4675.640876
424	4675.323421
425	4675.07367
426	4673.56802
427	4673.273299
428	4673.076172
429	4672.904368
430	4670.970036
431	4670.381805
432	4669.905421
433	4669.664231
434	4669.165287
435	4668.952366
436	4668.739748
437	4668.553758
438	4668.234549
439	4667.970866
440	4667.435858
441	4666.798983
442	4666.49759
443	4666.220486
444	4665.842635
445	4665.472269
446	4665.285265
447	4665.067216
448	4664.672925
449	4664.426062
450	4664.209644
451	4663.934141
452	4663.755679
453	4663.614567
454	4663.340692
455	4662.993368
456	4662.628737
457	4661.965497
458	4661.789336
459	4661.137656
460	4660.948334
461	4660.849718
462	4660.757062
463	4660.447394
464	4660.238544
465	4659.620778
466	4659.40027
467	4658.971721
468	4658.832047
469	4657.93683
470	4657.543695
471	4657.37075
472	4656.892773
473	4656.610651
474	4656.295535
475	4656.08975
476	4655.785291
477	4655.46742
478	4655.18301
479	4654.940805
480	4654.350772
481	4654.112686
482	4653.925631
483	4653.592126
484	4653.2949
485	4653.127341
486	4652.842649
487	4652.297026
488	4651.854615
489	4650.659259
490	4650.326637
491	4650.074807
492	4649.664175
493	4649.385847
494	4648.928671
495	4648.477359
496	4648.220078
497	4648.125969
498	4647.777706
499	4647.543927
500	4647.141398
501	4646.803183
502	4646.421516
503	4645.988558
504	4645.897869
505	4645.618842
506	4645.376712
507	4645.188642
508	4644.922562
509	4644.511012
510	4644.24139
511	4643.972757
512	4643.732799
513	4643.478606
514	4643.202246
515	4643.087949
516	4642.738045
517	4642.387745
518	4642.261865
519	4642.082382
520	4641.622299
521	4641.334916
522	4641.207685
523	4640.967508
524	4640.52236
525	4640.26502
526	4639.981475
527	4639.797388
528	4639.59914
529	4639.433514
530	4638.874865
531	4638.521925
532	4638.245521
533	4637.945775
534	4637.691256
535	4637.404248
536	4637.168033
537	4636.987879
538	4636.58077
539	4636.244587
540	4636.033289
541	4635.400645
542	4635.182196
543	4634.857363
544	4634.546745
545	4634.432262
546	4634.338296
547	4634.041201
548	4633.604112
549	4633.287232
550	4633.002068
551	4632.742471
552	4632.440078
553	4632.272183
554	4631.937709
555	4631.684559
556	4631.561567
557	4631.506887
558	4631.056102
559	4630.948024
560	4630.687067
561	4630.432749
562	4629.780875
563	4629.563177
564	4629.144773
565	4629.103685
566	4628.912328
567	4628.620526
568	4628.472756
569	4628.225021
570	4627.91969
571	4627.72529
572	4627.655552
573	4627.163854
574	4626.959145
575	4626.632374
576	4626.302994
577	4626.02666
578	4625.591654
579	4625.451402
580	4624.827048
581	4623.971835
582	4623.809112
583	4623.719642
584	4623.49943
585	4622.885594
586	4622.713313
587	4622.632215
588	4622.16066
589	4621.813682
590	4621.526277
591	4621.329858
592	4620.366483
593	4620.004496
594	4619.868562
595	4619.635546
596	4619.493407
597	4619.216789
598	4619.072149
599	4618.532012
600	4618.336811
601	4618.1888
602	4617.999784
603	4617.752408
604	4617.62292
605	4617.413925
606	4617.319351
607	4617.181034
608	4617.059309
609	4616.420307
610	4616.300775
611	4616.109618
612	4615.902015
613	4615.707574
614	4615.003409
615	4614.817494
616	4614.534033
617	4614.345001
618	4614.181517
619	4613.831861
620	4613.636458
621	4613.364106
622	4613.284242
623	4613.178133
624	4612.021065
625	4611.887188
626	4611.151864
627	4611.001265
628	4610.063396
629	4609.636616
630	4609.010753
631	4608.760166
632	4608.577264
633	4607.675046
634	4607.578612
635	4607.282968
636	4607.115359
637	4606.908517
638	4606.828688
639	4606.704698
640	4606.332892
641	4606.142183
642	4605.958384
643	4605.693964
644	4605.506367
645	4605.308653
646	4605.127241
647	4604.904885
648	4604.603405
649	4604.418696
650	4604.317336
651	4604.000908
652	4603.727399
653	4603.608741
654	4603.413259
655	4603.133317
656	4602.998265
657	4601.598137
658	4601.315061
659	4601.19722
660	4600.898011
661	4600.622092
662	4600.090049
663	4599.414028
664	4598.89066
665	4598.748555
666	4598.275398
667	4598.114579
668	4597.955811
669	4597.838807
670	4597.219713
671	4596.992491
672	4596.231169
673	4596.001933
674	4595.894958
675	4595.44344
676	4595.227722
677	4594.866875
678	4594.794802
679	4594.527475
680	4594.309329
681	4594.237047
682	4593.984054
683	4593.791908
684	4593.612946
685	4593.43527
686	4593.152507
687	4592.962641
688	4592.739932
689	4592.494963
690	4592.24794
691	4591.983372
692	4591.742391
693	4591.460464
694	4591.234546
695	4591.07684
696	4590.813516
697	4590.7258
698	4590.622772
699	4590.445778
700	4590.277187
701	4590.133711
702	4589.897249
703	4589.728877
704	4589.404885
705	4589.297739
706	4588.848481
707	4588.762605
708	4588.497518
709	4588.333277
710	4588.044186
711	4587.849824
712	4586.969297
713	4586.231532
714	4586.091565
715	4585.970476
716	4585.644058
717	4585.295026
718	4585.208317
